Category,Area,Distance,Log_Area,tsne_1,tsne_2
person,3337.5759999999996,0.62090605,3.52343116381228,17.29791,-12.513751
person,9387.8464,0.6796017,3.972565975240771,19.27229,-14.4027405
person,4261.9056,0.77577394,3.629603825985145,19.765812,-8.675827
person,677.2719,0.8083772,2.8307630571092357,14.046415,-13.938673
person,3383.3131,0.6093519,3.5293421903124385,18.114199,-15.3306055
person,163172.379,0.69809294,5.212646645452715,22.644308,-13.9528
person,2010.9699999999998,0.65376705,3.3034055917644993,17.19501,-13.459029
person,12762.813,0.60500604,4.105946406025895,19.653444,-14.209373
person,3000.2124000000003,0.66299754,3.4771520016805515,18.225025,-15.385304
person,2339.1942,0.8938538,3.369066278451878,16.345959,-7.212147
person,88.236,0.84902936,1.9456458120193652,1.7553556,-9.036739
person,653.2252,0.74402446,2.815062930519375,12.663617,-13.686298
person,276.8744,1.1090118,2.442282802431356,28.579145,38.323982
person,16763.6304,0.645195,4.224368077059802,20.77324,-13.347967
person,912.7534999999999,0.7026296,2.960353506949371,14.676549,-10.640786
person,3863.5558,0.6029227,3.5869871889913205,18.468752,-11.619545
person,19469.6502,0.8140162,4.289358148871113,19.297678,-13.379602
person,6305.1768,0.6932405,3.7996972688929023,19.008337,-13.78495
person,7461.9825,0.58512056,3.8728542261893524,18.400915,-15.2145405
person,4676.2074,0.6405598,3.6698937648247165,18.570143,-12.712792
person,70072.896,0.63820267,4.845550066556363,21.736008,-12.481183
person,161.01379999999997,0.9019364,2.2068630996778795,9.504486,-10.784993
person,8990.9272,0.7483778,3.9538044811747852,17.683743,-11.912974
person,542.4104,0.61338514,2.7343280079595065,14.904291,-12.933836
person,16.0992,1.0953423,1.2068042956456542,-88.17666,-6.481407
person,144030.49649999998,0.80718744,5.158454457785535,23.992947,-15.407637
person,267819.631,0.7905362,5.42784240733807,53.13443,-10.2648325
person,1098.666,0.8941387,3.0408656847771307,11.040014,-13.569935
person,143.463,1.1415435,2.156739908263137,-85.19049,-10.767597
person,2087.715,0.7834674,3.319671211583421,15.289723,-12.443025
person,7957.797799999999,0.70829165,3.900792899944842,19.840319,-15.755519
person,1538.0352000000003,0.79194915,3.1869662749913084,16.79422,-9.497623
person,5604.9121000000005,0.65301496,3.748568806086336,17.905365,-13.8198595
person,189.25659999999996,0.88088405,2.277051033712932,11.263345,-14.177547
person,1157.6519999999998,0.6600157,3.063578026409052,16.272343,-14.374149
person,6932.79,0.57604843,3.8409080452553885,18.173382,-14.808024
person,1528.1046,0.8433048,3.1841530830669007,7.0727205,-12.15003
